organ.hubmap_id	organ.submission_id	samples_without_location_sub_id	samples_without_location_hubmap_id	sample_types	dataset_hubmap_id	organ.group_name	organ.created_by_user_email
HBM865.MWHF.489	VAN0007-LK	[VAN0007-LK-203-103]	[HBM953.SQPG.639]	[fresh_frozen_tissue_section]	HBM529.NGCG.277	Vanderbilt TMC	allenj2@vanderbilt.edu
HBM865.MWHF.489	VAN0007-LK	[VAN0007-LK-203-103]	[HBM953.SQPG.639]	[fresh_frozen_tissue_section]	HBM889.NSRP.924	Vanderbilt TMC	allenj2@vanderbilt.edu
HBM865.MWHF.489	VAN0007-LK	[VAN0007-LK-203-103]	[HBM953.SQPG.639]	[fresh_frozen_tissue_section]	HBM739.JKQC.464	Vanderbilt TMC	allenj2@vanderbilt.edu
HBM865.MWHF.489	VAN0007-LK	[VAN0007-LK-203-103]	[HBM953.SQPG.639]	[fresh_frozen_tissue_section]	HBM362.PTQJ.743	Vanderbilt TMC	allenj2@vanderbilt.edu
HBM684.BGFH.533	UFL0002-LY03	[UFL0002-LY03-1-1]	[HBM488.PCCL.423]	[ffpe_slide]	HBM623.TSMG.452	University of Florida TMC	marda@ufl.edu
HBM585.FCXH.792	UFL0002-TH	[UFL0002-TH-2]	[HBM685.NQMR.594]	[organ_piece]	HBM373.RTKK.586	University of Florida TMC	marda@ufl.edu
HBM585.FCXH.792	UFL0002-TH	[UFL0002-TH-2]	[HBM685.NQMR.594]	[organ_piece]	HBM246.VPVL.879	University of Florida TMC	marda@ufl.edu
HBM585.FCXH.792	UFL0002-TH	[UFL0002-TH-2]	[HBM685.NQMR.594]	[organ_piece]	HBM273.TDVP.568	University of Florida TMC	marda@ufl.edu
HBM585.FCXH.792	UFL0002-TH	[UFL0002-TH-2]	[HBM685.NQMR.594]	[organ_piece]	HBM262.HJSQ.643	University of Florida TMC	marda@ufl.edu
HBM585.FCXH.792	UFL0002-TH	[UFL0002-TH-2]	[HBM685.NQMR.594]	[organ_piece]	HBM472.SZJZ.622	University of Florida TMC	marda@ufl.edu
HBM585.FCXH.792	UFL0002-TH	[UFL0002-TH-2]	[HBM685.NQMR.594]	[organ_piece]	HBM572.PHZP.966	University of Florida TMC	marda@ufl.edu
HBM585.FCXH.792	UFL0002-TH	[UFL0002-TH-2]	[HBM685.NQMR.594]	[organ_piece]	HBM736.CMTG.482	University of Florida TMC	marda@ufl.edu
HBM585.FCXH.792	UFL0002-TH	[UFL0002-TH-2]	[HBM685.NQMR.594]	[organ_piece]	HBM256.TVMB.842	University of Florida TMC	marda@ufl.edu
HBM585.FCXH.792	UFL0002-TH	[UFL0002-TH-2]	[HBM685.NQMR.594]	[organ_piece]	HBM778.VHHR.349	University of Florida TMC	marda@ufl.edu
HBM585.FCXH.792	UFL0002-TH	[UFL0002-TH-2]	[HBM685.NQMR.594]	[organ_piece]	HBM339.XXWC.842	University of Florida TMC	marda@ufl.edu
HBM585.FCXH.792	UFL0002-TH	[UFL0002-TH-1]	[HBM949.DCNW.683]	[organ_piece]	HBM588.FHDS.363	University of Florida TMC	marda@ufl.edu
HBM585.FCXH.792	UFL0002-TH	[UFL0002-TH-1]	[HBM949.DCNW.683]	[organ_piece]	HBM675.SDNC.963	University of Florida TMC	marda@ufl.edu
HBM369.DGXL.358	UFL0002-SP	[UFL0002-SP-2]	[HBM866.QJZP.732]	[organ_piece]	HBM472.NTNN.543	University of Florida TMC	marda@ufl.edu
HBM369.DGXL.358	UFL0002-SP	[UFL0002-SP-2]	[HBM866.QJZP.732]	[organ_piece]	HBM987.XGTH.368	University of Florida TMC	marda@ufl.edu
HBM369.DGXL.358	UFL0002-SP	[UFL0002-SP-3]	[HBM932.MDJJ.846]	[organ_piece]	HBM558.SRZG.629	University of Florida TMC	marda@ufl.edu
HBM666.CHPF.373	VAN0003-LK	[VAN0003-LK-32-21]	[HBM455.FRRH.847]	[fresh_frozen_tissue_section]	HBM539.LXFQ.933	Vanderbilt TMC	neumane@vanderbilt.edu
HBM666.CHPF.373	VAN0003-LK	[VAN0003-LK-32-21]	[HBM455.FRRH.847]	[fresh_frozen_tissue_section]	HBM396.KGDR.538	Vanderbilt TMC	neumane@vanderbilt.edu
HBM666.CHPF.373	VAN0003-LK	[VAN0003-LK-32-21]	[HBM455.FRRH.847]	[fresh_frozen_tissue_section]	HBM832.RVND.293	Vanderbilt TMC	neumane@vanderbilt.edu
HBM666.CHPF.373	VAN0003-LK	[VAN0003-LK-32-21]	[HBM455.FRRH.847]	[fresh_frozen_tissue_section]	HBM565.CBJS.354	Vanderbilt TMC	neumane@vanderbilt.edu
HBM666.CHPF.373	VAN0003-LK	[VAN0003-LK-32-22]	[HBM497.KFHQ.554]	[fresh_frozen_tissue_section]	HBM666.RKRD.836	Vanderbilt TMC	neumane@vanderbilt.edu
HBM666.CHPF.373	VAN0003-LK	[VAN0003-LK-32-29,VAN0003-LK-32-30,VAN0003-LK-32-31,VAN0003-LK-32-32,VAN0003-LK-32-33,VAN0003-LK-32-34,VAN0003-LK-32-35]	[HBM368.DMQS.567,HBM824.JBNZ.428,HBM594.KGSF.372,HBM842.NPLR.997,HBM958.NBRK.922,HBM767.BHMC.499,HBM639.WNQR.848]	[fresh_frozen_tissue_section,fresh_frozen_tissue_section,fresh_frozen_tissue_section,fresh_frozen_tissue_section,fresh_frozen_tissue_section,fresh_frozen_tissue_section,fresh_frozen_tissue_section]	HBM355.VDXT.245	Vanderbilt TMC	neumane@vanderbilt.edu
HBM666.CHPF.373	VAN0003-LK	[VAN0003-LK-33,VAN0003-LK-33-2]	[HBM643.FDGT.862,HBM284.VNHX.846]	[ffpe_block,ffpe_slide]	HBM875.QHDJ.259	Vanderbilt TMC	neumane@vanderbilt.edu
HBM272.HQRZ.882	VAN0001-RK	[VAN0001-RK-1-1,VAN0001-RK-1-2,VAN0001-RK-1-3,VAN0001-RK-1-4,VAN0001-RK-1-5]	[HBM279.XQKS.576,HBM252.LCVP.585,HBM836.GZJH.794,HBM742.FQPG.233,HBM228.BMXV.648]	[fresh_frozen_tissue_section,fresh_frozen_tissue_section,fresh_frozen_tissue_section,fresh_frozen_tissue_section,fresh_frozen_tissue_section]	HBM264.LNQW.373	Vanderbilt TMC	spraggj@vanderbilt.edu
HBM844.CKFX.439	VAN0006-LK	[VAN0006-LK-4-1]	[HBM579.DJJR.244]	[fresh_frozen_tissue_section]	HBM577.MJQZ.479	Vanderbilt TMC	neumane@vanderbilt.edu
HBM844.CKFX.439	VAN0006-LK	[VAN0006-LK-4-33]	[HBM368.TCZQ.299]	[fresh_frozen_tissue_section]	HBM984.PMZN.942	Vanderbilt TMC	neumane@vanderbilt.edu
HBM844.CKFX.439	VAN0006-LK	[VAN0006-LK-4-35]	[HBM363.MPPK.798]	[fresh_frozen_tissue_section]	HBM495.DRKN.757	Vanderbilt TMC	neumane@vanderbilt.edu
HBM844.CKFX.439	VAN0006-LK	[VAN0006-LK-4-35]	[HBM363.MPPK.798]	[fresh_frozen_tissue_section]	HBM586.DDJP.354	Vanderbilt TMC	neumane@vanderbilt.edu
HBM844.CKFX.439	VAN0006-LK	[VAN0006-LK-4-35]	[HBM363.MPPK.798]	[fresh_frozen_tissue_section]	HBM287.DWFS.254	Vanderbilt TMC	neumane@vanderbilt.edu
HBM844.CKFX.439	VAN0006-LK	[VAN0006-LK-4-35]	[HBM363.MPPK.798]	[fresh_frozen_tissue_section]	HBM969.MLWK.466	Vanderbilt TMC	neumane@vanderbilt.edu
HBM844.CKFX.439	VAN0006-LK	[VAN0006-LK-2-4,VAN0006-LK-2-5,VAN0006-LK-2-6,VAN0006-LK-2-7,VAN0006-LK-2-8]	[HBM482.TNVQ.564,HBM987.SLCP.933,HBM524.SVFS.275,HBM724.ZMHG.968,HBM963.MSKW.872]	[fresh_frozen_tissue_section,fresh_frozen_tissue_section,fresh_frozen_tissue_section,fresh_frozen_tissue_section,fresh_frozen_tissue_section]	HBM787.FMCW.347	Vanderbilt TMC	neumane@vanderbilt.edu
HBM844.CKFX.439	VAN0006-LK	[VAN0006-LK-2-85]	[HBM952.CHZQ.374]	[fresh_frozen_tissue_section]	HBM653.VSMF.765	Vanderbilt TMC	neumane@vanderbilt.edu
HBM844.CKFX.439	VAN0006-LK	[VAN0006-LK-2-85]	[HBM952.CHZQ.374]	[fresh_frozen_tissue_section]	HBM725.PDDC.788	Vanderbilt TMC	neumane@vanderbilt.edu
HBM844.CKFX.439	VAN0006-LK	[VAN0006-LK-2-85]	[HBM952.CHZQ.374]	[fresh_frozen_tissue_section]	HBM639.BNFL.487	Vanderbilt TMC	neumane@vanderbilt.edu
HBM844.CKFX.439	VAN0006-LK	[VAN0006-LK-2-85]	[HBM952.CHZQ.374]	[fresh_frozen_tissue_section]	HBM286.FJBP.622	Vanderbilt TMC	neumane@vanderbilt.edu
HBM844.CKFX.439	VAN0006-LK	[VAN0006-LK-2-86]	[HBM638.DVCH.366]	[fresh_frozen_tissue_section]	HBM788.QPJT.262	Vanderbilt TMC	neumane@vanderbilt.edu
HBM844.CKFX.439	VAN0006-LK	[VAN0006-LK-7-2]	[HBM773.NWJS.569]	[ffpe_slide]	HBM636.GVWP.354	Vanderbilt TMC	neumane@vanderbilt.edu
HBM256.TZJZ.974	UFL0001-LY08	[UFL0001-LY08-1-1]	[HBM645.TQTF.532]	[ffpe_slide]	HBM356.QRPV.263	University of Florida TMC	marda@ufl.edu
HBM256.TZJZ.974	UFL0001-LY08	[UFL0001-LY08-1-1]	[HBM645.TQTF.532]	[ffpe_slide]	HBM342.QHMH.584	University of Florida TMC	marda@ufl.edu
HBM256.TZJZ.974	UFL0001-LY08	[UFL0001-LY08-1-1]	[HBM645.TQTF.532]	[ffpe_slide]	HBM345.KKNW.528	University of Florida TMC	marda@ufl.edu
HBM256.TZJZ.974	UFL0001-LY08	[UFL0001-LY08-1-1]	[HBM645.TQTF.532]	[ffpe_slide]	HBM397.RXSM.962	University of Florida TMC	marda@ufl.edu
HBM256.TZJZ.974	UFL0001-LY08	[UFL0001-LY08-1-2]	[HBM234.ZMWX.697]	[other]	HBM387.XZWR.467	University of Florida TMC	marda@ufl.edu
HBM749.QJZK.937	UFL0001-SP	[UFL0001-SP-2]	[HBM455.VLSJ.746]	[organ_piece]	HBM432.LLCF.677	University of Florida TMC	marda@ufl.edu
HBM749.QJZK.937	UFL0001-SP	[UFL0001-SP-2]	[HBM455.VLSJ.746]	[organ_piece]	HBM556.QMSM.776	University of Florida TMC	marda@ufl.edu
HBM749.QJZK.937	UFL0001-SP	[UFL0001-SP-3]	[HBM579.CMHL.343]	[organ_piece]	HBM336.FWTN.636	University of Florida TMC	marda@ufl.edu
HBM749.QJZK.937	UFL0001-SP	[UFL0001-SP-3]	[HBM579.CMHL.343]	[organ_piece]	HBM465.SSNC.296	University of Florida TMC	marda@ufl.edu
HBM749.QJZK.937	UFL0001-SP	[UFL0001-SP-3]	[HBM579.CMHL.343]	[organ_piece]	HBM583.PJBG.338	University of Florida TMC	marda@ufl.edu
HBM749.QJZK.937	UFL0001-SP	[UFL0001-SP-3]	[HBM579.CMHL.343]	[organ_piece]	HBM839.VWVF.894	University of Florida TMC	marda@ufl.edu
HBM749.QJZK.937	UFL0001-SP	[UFL0001-SP-3,UFL0001-SP-3-8-2]	[HBM579.CMHL.343,HBM355.SPTT.568]	[organ_piece,ffpe_slide]	HBM337.FSXL.564	University of Florida TMC	marda@ufl.edu
HBM749.QJZK.937	UFL0001-SP	[UFL0001-SP-3,UFL0001-SP-3-8-3]	[HBM579.CMHL.343,HBM337.XXDH.744]	[organ_piece,other]	HBM459.CGSD.533	University of Florida TMC	marda@ufl.edu
HBM749.QJZK.937	UFL0001-SP	[UFL0001-SP-1]	[HBM638.HMDC.533]	[organ_piece]	HBM647.MFQB.496	University of Florida TMC	marda@ufl.edu
HBM749.QJZK.937	UFL0001-SP	[UFL0001-SP-1]	[HBM638.HMDC.533]	[organ_piece]	HBM749.WHLC.649	University of Florida TMC	marda@ufl.edu
HBM258.JTLS.898	UFL0001-TH	[UFL0001-TH-1,UFL0001-TH-1-2]	[HBM946.ZZRB.474,HBM363.KHLF.497]	[organ_piece,single_cell_cryopreserved]	HBM457.SQKR.279	University of Florida TMC	marda@ufl.edu
HBM258.JTLS.898	UFL0001-TH	[UFL0001-TH-2]	[HBM382.HTDL.898]	[organ_piece]	HBM724.ZKSM.924	University of Florida TMC	marda@ufl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-2,STAN0003-SI-2-11]	[HBM683.LPTG.838,HBM555.LQJW.397]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM893.LCWM.423	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-2,STAN0003-SI-2-11]	[HBM683.LPTG.838,HBM555.LQJW.397]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM233.DDWS.858	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-2,STAN0003-SI-2-11]	[HBM683.LPTG.838,HBM555.LQJW.397]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM786.DFVF.754	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-2,STAN0003-SI-2-11]	[HBM683.LPTG.838,HBM555.LQJW.397]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM666.QBKB.629	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-2,STAN0003-SI-2-11]	[HBM683.LPTG.838,HBM555.LQJW.397]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM855.VBLX.337	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-2,STAN0003-SI-2-11]	[HBM683.LPTG.838,HBM555.LQJW.397]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM379.MLVH.522	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-2,STAN0003-SI-2-11]	[HBM683.LPTG.838,HBM555.LQJW.397]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM436.VWQC.266	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-2,STAN0003-SI-2-11]	[HBM683.LPTG.838,HBM555.LQJW.397]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM363.HBGD.568	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-2,STAN0003-SI-2-11]	[HBM683.LPTG.838,HBM555.LQJW.397]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM767.KLJT.878	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-2,STAN0003-SI-2-11,STAN0003-SI-4,STAN0003-SI-4-6,STAN0003-SI-1,STAN0003-SI-1-8,STAN0003-SI-3,STAN0003-SI-3-6]	[HBM683.LPTG.838,HBM555.LQJW.397,HBM369.JRRC.377,HBM649.SRZW.542,HBM457.CGXD.357,HBM969.HPBJ.369,HBM945.PZHJ.983,HBM229.NKWB.488]	[organ_piece,flash_frozen_liquid_nitrogen,organ_piece,flash_frozen_liquid_nitrogen,organ_piece,flash_frozen_liquid_nitrogen,organ_piece,flash_frozen_liquid_nitrogen]	HBM477.MNQW.845	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-2,STAN0003-SI-2-11]	[HBM683.LPTG.838,HBM555.LQJW.397]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM397.DHFQ.274	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-2,STAN0003-SI-2-11]	[HBM683.LPTG.838,HBM555.LQJW.397]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM554.FXRG.494	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-2,STAN0003-SI-2-11]	[HBM683.LPTG.838,HBM555.LQJW.397]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM372.FSCF.979	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-4,STAN0003-SI-4-6]	[HBM369.JRRC.377,HBM649.SRZW.542]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM848.VLZL.329	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-4,STAN0003-SI-4-6]	[HBM369.JRRC.377,HBM649.SRZW.542]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM224.DLMP.923	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-4,STAN0003-SI-4-6]	[HBM369.JRRC.377,HBM649.SRZW.542]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM793.VCPJ.246	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-4,STAN0003-SI-4-6]	[HBM369.JRRC.377,HBM649.SRZW.542]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM875.LBGV.674	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-4,STAN0003-SI-4-6]	[HBM369.JRRC.377,HBM649.SRZW.542]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM634.HGLT.739	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-4,STAN0003-SI-4-6]	[HBM369.JRRC.377,HBM649.SRZW.542]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM323.JGNJ.947	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-4,STAN0003-SI-4-6]	[HBM369.JRRC.377,HBM649.SRZW.542]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM384.KHNQ.598	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-4,STAN0003-SI-4-6]	[HBM369.JRRC.377,HBM649.SRZW.542]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM947.XPXC.788	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-4,STAN0003-SI-4-6]	[HBM369.JRRC.377,HBM649.SRZW.542]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM447.RHLH.225	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-4,STAN0003-SI-4-6]	[HBM369.JRRC.377,HBM649.SRZW.542]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM626.DQGW.649	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-4,STAN0003-SI-4-6]	[HBM369.JRRC.377,HBM649.SRZW.542]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM265.GGWQ.664	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-4,STAN0003-SI-4-6]	[HBM369.JRRC.377,HBM649.SRZW.542]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM443.RQDW.442	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-1,STAN0003-SI-1-8]	[HBM457.CGXD.357,HBM969.HPBJ.369]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM233.GVDL.962	Stanford TMC	liny@wustl.edu
HBM465.ZCWN.623	STAN0003-SI	[STAN0003-SI-1,STAN0003-SI-1-8]	[HBM457.CGXD.357,HBM969.HPBJ.369]	[organ_piece,flash_frozen_liquid_nitrogen]	HBM953.VVQN.686	Stanford TMC	liny@wustl.edu
